code,lon,lat,name,city
SLMG,-64.063333,-13.258056,Magdalena,Magdalena
SLSA,-65.432222,-13.758333,Santa Ana,Santa Ana
SLRY,-67.391666,-14.323333,Reyes,Reyes
SLRQ,-67.451174,-14.486027,Rurrenabaque,Rurrenabaque
SLTR,-64.913334,-14.818333,Jorge Henrich,Trinidad
SLCB,-66.177136,-17.421086,Jorge Wilsterman,Cochabamba
SLOR,-67.074444,-17.959445,Juan Mendoza,Oruro
SLPO,-65.730278,-19.546667,Nicolas Rojas,Potosi
SLSU,-65.293889,-19.009722,Juana Azurduy De Padilla,Sucre
SLTJ,-64.707222,-21.5475,Capt Oriel Lea Plaza,Tarija
SASJ,-65.097778,-24.392778,Gobernador Horacio Guzman,Jujuy
SASA,-65.487,-24.859611,Gral M M De Guemes,Salta
SANT,-65.104722,-26.840833,Benjamin Matienzo,Tucuman
SACO,-64.208333,-31.31,Ing Aeron Ambrosio Lv Taravell,Cordoba
SAOU,-66.352222,-33.277222,San Luis,San Luis
SAOC,-64.264722,-33.093611,Area De Material,Rio Cuarto
SAVC,-67.465556,-45.785278,Gen. Enrique Mosconi Intl,Comodoro Rivadavia
CYLT,-62.280555,82.517778,Alert,Alert
CYDP,-61.680278,56.549167,Nain,Nain
CYYR,-60.425833,53.319167,Goose Bay,Goose Bay
CYGV,-63.611389,50.281944,Havre St-Pierre,Havre St-Pierre
CYNA,-61.789167,50.189722,Natashquan,Natashquan
CYGR,-61.778056,47.424722,Iles-De-La-Madeleine,Iles-De-La-Madeleine
CYYG,-63.121111,46.29,Charlottetown,Charlottetown
CYQY,-60.047778,46.161389,Sydney,Sydney
CYPD,-61.368056,45.656667,Port Hawkesbury,Port Hawkesbury
CYAW,-63.499445,44.639722,Halifax/Shearwater,Halifax
CYHZ,-63.508611,44.880833,Halifax Intl,Halifax
TNCM,-63.109517,18.040847,Princess Juliana Intl,St Maarten I
TQPF,-63.055,18.204722,Wallblake,The Valley
TNCE,-62.974972,17.492361,F.D. Roosevelt,St Eustatius I
TKPK,-62.718611,17.311111,Bradshaw Intl,Saint Kitts I.
TKPN,-62.594003,17.205642,Vance Winkworth Amory,Nevis I.
TAPA,-61.792778,17.136667,V C Bird Intl,St Johns
TFFR,-61.525834,16.264166,Le Raizet,Pointe-A-Pitre
TDPD,-61.301667,15.546944,Melville Hall,Roseau
TDCF,-61.400556,15.336111,Canefield Intl,Roseau
TFFF,-60.996389,14.592222,Le Lamentin,Ft De France
TLPC,-60.993056,14.02,George F. Charles,Castries
TLPL,-60.952778,13.733333,Hewanorra Intl,Vieuxfort
TVSV,-61.210834,13.144444,E T Joshua,Kingstown
TVSC,-61.344444,12.700419,Canouan,Canouan
TGPY,-61.786111,12.003889,Point Salines Intl,St Georges
TTPP,-61.337222,10.595278,Piarco Intl,Port Of Spain
TTCP,-60.832222,11.149722,Crown Point,Scarborough
SVMT,-63.152554,9.751152,Maturin Intl,Maturin
SVCB,-63.534846,8.133374,Ciudad Bolivar,Ciudad Bolivar
SVPR,-62.733179,8.300041,Manuel Carlos Piar,Ciudad Guayana
SVCN,-62.849846,6.200041,Canaima,Canaima
SBBV,-60.692222,2.841389,Boa Vista Intl,Boa Vista
SBEG,-60.050556,-3.041111,Eduardo Gomes Intl,Manaus
SBMY,-61.283889,-5.816945,Manicore,Manicore
SBVH,-60.095278,-12.683056,Vilhena,Vilhena
SLAS,-63.092222,-15.719167,Ascencion De Guarayos,Ascencion De Guarayos
SLCP,-62.021667,-16.147222,Concepcion,Concepcion
SLSI,-60.977778,-16.379444,Cap. Av. Juan Cochamanidis San,San Ignacio De Velasco
SLVR,-63.135364,-17.644755,Viru Viru Intl,Santa Cruz
SLET,-63.177222,-17.800556,El Trompillo,Santa Cruz
SLJE,-60.8,-17.816667,San Jose De Chiquitos,San Jose De Chiquitos
SLCA,-63.5275,-20.000278,Camiri,Camiri
